id;variety;mode;format;type;category
icecan_s1a-001_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-001_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-002_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-002_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-003_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-003_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-004_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-005_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-005_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-006_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-006_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-007_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-008_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-008_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-008_3;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-009_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-009_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-010_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-011_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-011_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-011_4;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-011_5;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-012_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-013_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-013_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-014_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-015_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-016_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-017_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-017_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-017_3;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-018_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-018_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-019_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-019_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-020_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-021_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-022_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-023_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-023_2;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-024_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-025_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-026_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-027_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-028_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-029_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-030_1;icecan;spoken;dialogue;private;direct conversations
icecan_s1a-030_2;icecan;spoken;dialogue;private;direct conversations
